text,created_at,id,edit_history_tweet_ids,author_id
@chocoo_web3 @DaoryAurory @AuroryProject Aurory has something interesting that isn't fully exploited !,2025-05-24T17:45:24.000Z,1926333726067163381,['1926333726067163381'],1299438677777670151
"We are excited to announce that you can qualify for a $W rewards!

Check your eligibility and claim here: https://t.co/Y3VTPwYiG0

🫂 Invited users: @Ariel1234515 @ZionBurns57314 @sjjwnmgyjdh @iHosam_x @Melo_Aurory 

AbS7y",2025-05-24T17:43:49.000Z,1926333326635221328,['1926333326635221328'],1919483301179346944
"A Seeker just bought a Rare 𝗕𝗹𝗼𝗼𝗺𝘁𝗮𝗶𝗹 (𝗟𝗩𝗟  𝟭)! 🔥

LFGame ⚡

Details: https://t.co/qbg8D3hs1x

Start playing 𝗦𝗲𝗲𝗸𝗲𝗿𝘀 𝗼𝗳 𝗧𝗼𝗸𝗮𝗻𝗲 at https://t.co/0R9emrZMgA right now https://t.co/tcWwgtqn83",2025-05-24T16:17:10.000Z,1926311523099529726,['1926311523099529726'],1821142828304756736
"A Seeker just bought a Rare 𝗕𝗶𝘁𝗲𝗯𝗶𝘁 (𝗟𝗩𝗟  𝟭)! 🔥

LFGame ⚡

Details: https://t.co/oAMBtLuywf

Start playing 𝗦𝗲𝗲𝗸𝗲𝗿𝘀 𝗼𝗳 𝗧𝗼𝗸𝗮𝗻𝗲 at https://t.co/0R9emrZMgA right now https://t.co/rtyp2wh5K1",2025-05-24T16:17:07.000Z,1926311509866565938,['1926311509866565938'],1821142828304756736
"A Seeker just bought a Rare 𝗔𝘅𝗼𝗯𝘂𝗯𝗯𝗹𝗲 (𝗟𝗩𝗟  𝟭)! 🔥

LFGame ⚡

Details: https://t.co/S8bDpR16QY

Start playing 𝗦𝗲𝗲𝗸𝗲𝗿𝘀 𝗼𝗳 𝗧𝗼𝗸𝗮𝗻𝗲 at https://t.co/0R9emrZMgA right now https://t.co/AxGGHMvdke",2025-05-24T16:12:04.000Z,1926310237553696960,['1926310237553696960'],1821142828304756736
"3DOS, Litas, Openledger, Sandwatch

Testnets(12):
Monad, Plaza Finance, GoKiteAI, Malda, Aurory AI, Rise, Irys, Prior, Citrea, R2 Money, Pharos, Somnia

Others(24):
Sapien, Magic Newton, Assisterr, SoSo, Klok, PoD, Coresky, Beamable, OneFootball, Camp Network, Blockscout,",2025-05-24T14:01:41.000Z,1926277426310516977,['1926277426310516977'],1864617987321548850
"A Seeker just bought a Rare 𝗖𝗵𝗼𝗰𝗼𝗺𝗶𝗻𝘁 (𝗟𝗩𝗟  𝟲)! 🔥

Price: 55 $AURY  (8.09 $USD)

LFGame ⚡

Details: https://t.co/tQnkAnxFK8

Start playing 𝗦𝗲𝗲𝗸𝗲𝗿𝘀 𝗼𝗳 𝗧𝗼𝗸𝗮𝗻𝗲 at https://t.co/0R9emrZMgA right now https://t.co/exrpRFq1SF",2025-05-24T10:41:31.000Z,1926227050299260946,['1926227050299260946'],1821142828304756736
"A Seeker just bought an Epic 𝗖𝘆𝗯𝗲𝗿𝘁𝗼𝗼𝘁𝗵 (𝗟𝗩𝗟  𝟭)! 🔥

Price: 190 $AURY  (28.02 $USD)

LFGame ⚡

Details: https://t.co/iCtTJSiqvR

Start playing 𝗦𝗲𝗲𝗸𝗲𝗿𝘀 𝗼𝗳 𝗧𝗼𝗸𝗮𝗻𝗲 at https://t.co/0R9emrZMgA right now https://t.co/v17yjovlTr",2025-05-24T03:35:43.000Z,1926119894887649702,['1926119894887649702'],1821142828304756736
"A Seeker just bought an Epic 𝗦𝗵𝗶𝗯𝗮𝗿𝗸 (𝗟𝗩𝗟  𝟭)! 🔥

Price: 290 $AURY  (42.82 $USD)

LFGame ⚡

Details: https://t.co/q0as9mXflT

Start playing 𝗦𝗲𝗲𝗸𝗲𝗿𝘀 𝗼𝗳 𝗧𝗼𝗸𝗮𝗻𝗲 at https://t.co/0R9emrZMgA right now https://t.co/sGr5jZkQ2R",2025-05-23T22:24:49.000Z,1926041657557864943,['1926041657557864943'],1821142828304756736
"A Seeker just bought a Rare 𝗕𝗶𝘁𝗲𝗯𝗶𝘁 (𝗟𝗩𝗟  𝟭)! 🔥

LFGame ⚡

Details: https://t.co/oAMBtLuywf

Start playing 𝗦𝗲𝗲𝗸𝗲𝗿𝘀 𝗼𝗳 𝗧𝗼𝗸𝗮𝗻𝗲 at https://t.co/0R9emrZMgA right now https://t.co/8TPY99JTTb",2025-05-23T18:24:25.000Z,1925981156555559010,['1925981156555559010'],1821142828304756736
"A Seeker just bought a Rare 𝗪𝗮𝘀𝘀𝗶𝗲 (𝗟𝗩𝗟  𝟭)! 🔥

LFGame ⚡

Details: https://t.co/vfStAOCL0A

Start playing 𝗦𝗲𝗲𝗸𝗲𝗿𝘀 𝗼𝗳 𝗧𝗼𝗸𝗮𝗻𝗲 at https://t.co/0R9emrZMgA right now https://t.co/XTtTMf4rvQ",2025-05-23T18:19:22.000Z,1925979886746771744,['1925979886746771744'],1821142828304756736
"@MDCryptoSniper @playsolana @0xjaynfts Looks good, aurory is a great game too",2025-05-23T15:36:57.000Z,1925939013925351660,['1925939013925351660'],3293970988
"A Seeker just bought a Rare 𝗗𝗶𝗽𝗸𝗶𝗻𝗴 (𝗟𝗩𝗟  𝟲)! 🔥

Price: 60 $AURY  (8.86 $USD)

LFGame ⚡

Details: https://t.co/JbmwfvMekR

Start playing 𝗦𝗲𝗲𝗸𝗲𝗿𝘀 𝗼𝗳 𝗧𝗼𝗸𝗮𝗻𝗲 at https://t.co/0R9emrZMgA right now https://t.co/b1MXOs6eq9",2025-05-23T13:18:45.000Z,1925904234165235978,['1925904234165235978'],1821142828304756736
"A Seeker just bought a Rare 𝗨𝗻𝗶𝗸𝗮 (𝗟𝗩𝗟  𝟲)! 🔥

Price: 60 $AURY  (8.86 $USD)

LFGame ⚡

Details: https://t.co/iZlnK6SBQD

Start playing 𝗦𝗲𝗲𝗸𝗲𝗿𝘀 𝗼𝗳 𝗧𝗼𝗸𝗮𝗻𝗲 at https://t.co/0R9emrZMgA right now https://t.co/DxhHh7XB88",2025-05-23T13:18:42.000Z,1925904219875246192,['1925904219875246192'],1821142828304756736
